finished,informed_consent,screener,age,gender,nationality,base_state,position_position,air_carrier_type,experience,total_flying_hours,military_experience,general_1,general_2,general_3,general_4,general_5,general_6,financial_1,financial_2,financial_3,financial_4,financial_5,financial_6,qo_l_1,qo_l_2,qo_l_3,qo_l_4,qo_l_5,qo_l_6,professional_1,professional_2,professional_3,professional_4,professional_5,recognition_1,recognition_3,recognition_4,recognition_7,schedule_1,schedule_2,schedule_3,schedule_4,schedule_5,operational_1,operational_2,operational_3,operational_4,operational_5,leaving,when,why
TRUE,YES,YES,26,Male,United States of America,Illinois,First Officer,Regional Airline,1,1600,Never served in the military,1,3,6,5,2,4,1,3,4,5,6,2,1,2,3,5,4,6,1,5,2,3,4,1,4,2,3,2,3,1,4,5,5,3,4,2,1,Yes,3-4 years,It’s a regional airline and the quality of life and pay and opportunity are better at major airlines.
TRUE,YES,YES,26,Male,United States of America,Illinois,Captain,Regional Airline,2,2100,Never served in the military,3,1,4,6,2,5,2,5,4,3,1,6,2,5,4,1,6,3,1,4,5,3,2,3,4,1,2,3,4,1,2,5,1,2,4,5,3,Yes,1-2 years,Move to a larger more permanent airline. Regional -> Legacy. Basically better on all fronts to a regional in all aspects for the exact same job.
TRUE,YES,YES,21,Male,United States of America,Illinois,First Officer,Regional Airline,1,1360,Never served in the military,2,1,5,6,3,4,1,3,5,4,2,6,1,4,2,6,5,3,1,3,4,5,2,4,2,1,3,5,2,1,3,4,1,2,4,5,3,Yes,3-4 years,Major/legacy pilots are treated more professionally by their management
TRUE,YES,YES,25,Female,United States of America,Pennsylvania,First Officer,Regional Airline,3,2500,Never served in the military,3,1,5,6,2,4,4,5,2,3,1,6,3,6,4,1,5,2,1,5,4,2,3,2,1,3,4,5,3,1,2,4,2,4,3,5,1,Yes,Within 1 year,"Better QOL, Bases out West, High 401k contribution at most LCC/Majors"
TRUE,YES,YES,25,Male,United States of America,Pennsylvania,First Officer,Low Cost Carrier,3,2500,Never served in the military,4,2,5,6,1,3,1,5,2,4,3,6,2,3,4,5,6,1,1,3,4,5,2,4,1,2,3,5,4,1,2,3,5,3,1,2,4,No,NA,NA
TRUE,YES,YES,31,Male,United States of America,Alaska,First Officer,Legacy/Mainline Part 121 Airline,5,3400,Never served in the military,3,1,5,6,2,4,1,4,3,5,2,6,3,4,5,6,2,1,1,2,3,5,4,3,4,2,1,4,3,1,2,5,5,4,1,2,3,No,NA,NA
TRUE,YES,YES,30,Female,United States of America,New York,First Officer,Regional Airline,1,2000,Never served in the military,3,1,4,6,2,5,2,4,3,5,1,6,2,3,6,5,4,1,1,2,5,3,4,1,3,2,4,4,5,1,3,2,5,2,1,3,4,Maybe,3-4 years,NA
TRUE,YES,YES,44,Male,United States of America,Indiana,Captain,Regional Airline,19,14000,Never served in the military,1,3,5,6,2,4,2,3,4,5,1,6,5,4,6,1,2,3,1,5,4,3,2,3,1,2,4,5,3,1,2,4,5,4,1,3,2,No,NA,NA
TRUE,YES,YES,26,Male,United States of America,Ohio,First Officer,Regional Airline,1,1900,Never served in the military,3,1,4,6,5,2,1,6,3,5,2,4,1,2,5,6,4,3,1,3,5,2,4,4,3,2,1,1,2,3,4,5,5,2,3,4,1,Yes,3-4 years,Moving on to the majors
TRUE,YES,YES,30,Male,India,Pennsylvania,First Officer,Regional Airline,3,3250,Never served in the military,1,2,4,6,3,5,1,6,2,4,3,5,2,5,6,3,4,1,1,4,5,2,3,1,3,2,4,1,5,2,3,4,4,2,1,5,3,No,NA,NA
TRUE,YES,YES,41,Male,Germany,Indiana,Captain,Regional Airline,9,11300,Never served in the military,2,3,1,5,4,6,1,3,4,5,2,6,2,4,3,5,6,1,1,4,2,3,5,1,3,4,2,1,3,2,5,4,2,1,4,3,5,Maybe,Within 1 year,More opportunities to fly larger airplanes to worldwide destinations. More retirement contributions. Roughly same pay for fewer working days.
TRUE,YES,YES,24,Male,United States of America,Indiana,First Officer,Regional Airline,2,2110,Never served in the military,4,2,1,6,3,5,2,4,3,6,1,5,3,4,5,1,6,2,1,5,2,3,4,1,4,2,3,5,3,1,2,4,1,2,3,5,4,Maybe,1-2 years,"Professional opportunity and growth. 401k contributions, better pay."
TRUE,YES,YES,48,Male,United States of America,New Jersey,First Officer,Regional Airline,1,1900,Previously served in the military,3,2,4,6,1,5,2,4,5,3,1,6,3,5,4,2,6,1,1,2,4,5,3,3,1,2,4,4,5,2,1,3,3,2,1,4,5,No,NA,NA
